House_Number,Road,Town,Postcode,Latitude,Longitude,Bedrooms,Bathrooms,Currently_For_Sale,Month,Year,Price,Rightmove_Link,EPC_Rating,EPC_Score,EPC_Potential_Rating,EPC_Potential_Score,EPC_Certificate_Number,EPC_Link,Floor_Area_(m^2),Floor_Area_(ft^2),Property_Type
63,Orme Road,Bangor,LL57 1AU,53.23189465136250,-4.12035124898088,3,,No,7,2009,140000,https://www.rightmove.co.uk/house-prices/details/england-68246235-52607481?s=9ee0aea2f690b127260a548c8e6b468b0a82d6fbf1ba3c317898b80a1730f9d5#/,D,68,B,82,8691-6723-6710-2026-6996,https://find-energy-certificate.service.gov.uk/energy-certificate/8691-6723-6710-2026-6996,90,969,Mid-terrace
64,Orme Road,Bangor,LL57 1AU,53.23190741451670,-4.12076258572239,5,1,No,4,2007,170000,https://www.rightmove.co.uk/house-prices/details/england-127738478-52607454?s=b0f2403bea83df3f2695b24f6d156e960c584fd1f68e83a46cf48504a433427a#/,E,39,B,84,8258-6124-8490-7330-2926,https://find-energy-certificate.service.gov.uk/energy-certificate/8258-6124-8490-7330-2926,83,893,Mid-terrace
65,Orme Road,Bangor,LL57 1AU,53.23193806390430,-4.12031587001353,3,,No,2,2012,152000,https://www.rightmove.co.uk/house-prices/details/england-19744830-52607493?s=3c19d87fd08589f469d0fa471f599f2172ce7552c6cb2731ef323f14355d4c02#/,D,60,C,69,8103-7968-7929-9206-5193,https://find-energy-certificate.service.gov.uk/energy-certificate/8103-7968-7929-9206-5193,81,872,Mid-terrace
66,Orme Road,Bangor,LL57 1AU,53.23194198111930,-4.12072408733797,3,1,No,2,2022,127500,https://www.rightmove.co.uk/house-prices/details/england-79558373-14994367?s=6d070199266da3f7040252b97a6e9e4bb13589180cbfde42384d80a6067025b8#/,D,66,C,80,0210-2114-3350-2707-7141,https://find-energy-certificate.service.gov.uk/energy-certificate/0210-2114-3350-2707-7141,104,1119,Mid-terrace
67,Orme Road,Bangor,LL57 1AU,53.23197935874880,-4.12027695310974,2,1,No,9,2013,67500,https://www.rightmove.co.uk/house-prices/details/england-20853698-52607511?s=d18f1f119392ab4c1254b7643dcd6d98210a45fae798121ef190c6f18a85277f#/,E,50,D,63,8728-6924-4810-8634-8026,https://find-energy-certificate.service.gov.uk/energy-certificate/8728-6924-4810-8634-8026,86,926,Mid-terrace
68,Orme Road,Bangor,LL57 1AU,53.23198387998460,-4.12069608853480,,,,,,,,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,
69,Orme Road,Bangor,LL57 1AU,53.23201959474960,-4.12023980507064,3,2,No,10,2016,105000,https://www.rightmove.co.uk/house-prices/details/england-140881508-88750002?s=5d8de1f6187550ea890920ba2d477aea0a7a9032c55e70257579282d6b38a3dd#/,D,59,C,77,0438-5025-7294-4836-8984,https://find-energy-certificate.service.gov.uk/energy-certificate/0438-5025-7294-4836-8984,92,990,Mid-terrace
70,Orme Road,Bangor,LL57 1AU,53.23202158897290,-4.12065584010578,,,,,,,,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,
71,Orme Road,Bangor,LL57 1AU,53.23206603707330,-4.12019950093786,3,1,No,10,2021,115000,https://www.rightmove.co.uk/house-prices/details/england-70814220-13971952?s=cf78f1692d638d018510c9b81849f4a831250aee8a563453b641cd1871764015#/,C,70,B,86,8906-6435-2729-6097-6483,https://find-energy-certificate.service.gov.uk/energy-certificate/8906-6435-2729-6097-6483,82,883,Mid-terrace
72,Orme Road,Bangor,LL57 1AU,53.23206034541370,-4.12061734154884,,,,,,,,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,
